Date,total_out_BTC_usd
2014-12-10,3230207.5209984127
2014-12-11,1942456.8170014848
2014-12-12,2413689.179596377
2014-12-13,1710694.5771562634
2014-12-14,1526761.4624398751
2014-12-15,2033284.6916415242
2014-12-16,2218289.2150118686
2014-12-17,2758824.7531964653
2014-12-18,2837082.5034000757
2014-12-19,2137817.7528008027
2014-12-20,1715070.2962809452
2014-12-21,2399997.7667359295
2014-12-22,2075447.820744833
2014-12-23,2612294.3332536486
2014-12-24,1731830.6708932498
2014-12-25,1806238.07884521
2014-12-26,1487269.3221787114
2014-12-27,1378053.4177066747
2014-12-28,1287985.87817069
2014-12-29,1517369.1827551343
2014-12-30,2277143.3523624144
2014-12-31,1970570.8798778844
2015-01-01,894328.6931036998
2015-01-02,1243374.9051263994
2015-01-03,1370887.987280194
2015-01-04,1814062.0961499203
2015-01-05,2104922.377168689
2015-01-06,2202427.604753651
2015-01-07,2518729.1824508314
2015-01-08,2883552.4687741497
2015-01-09,2483370.924712122
2015-01-10,1758752.1482252455
2015-01-11,2144584.587159624
2015-01-12,1656902.157433179
2015-01-13,2500485.5610740012
2015-01-14,3487455.3894939213
2015-01-15,3500327.4061400006
2015-01-16,2823973.0595706794
2015-01-17,1729088.950676712
2015-01-18,1378310.1937907136
2015-01-19,1486554.9487505218
2015-01-20,2733132.8496091473
2015-01-21,2249541.1672131377
2015-01-22,2099086.6690679453
2015-01-23,2069856.2559179913
2015-01-24,2423837.2016618475
2015-01-25,2072033.3691973558
2015-01-26,4416639.997222968
2015-01-27,1842688.5752809201
2015-01-28,1327641.2616901454
2015-01-29,1336480.8917874421
2015-01-30,1397354.5528656684
2015-01-31,1072733.7713906998
2015-02-01,1165953.9233990205
2015-02-02,1425450.8708276565
2015-02-03,2336544.717863831
2015-02-04,1657206.8169705481
2015-02-05,1757493.4991693106
2015-02-06,1217268.5812878213
2015-02-07,887985.9440356804
2015-02-08,1073177.1534026342
2015-02-09,1195356.6920570896
2015-02-10,1278471.0800763601
2015-02-11,1221021.0121882905
2015-02-12,1471420.1847087075
2015-02-13,1828207.7379675123
2015-02-14,1040455.2508424966
2015-02-15,1229624.879055688
2015-02-16,1143269.2106526757
2015-02-17,1273618.2372904469
2015-02-18,1229382.0948161297
2015-02-19,1049052.7587687515
2015-02-20,1232951.954153317
2015-02-21,1026501.2723643088
2015-02-22,752350.2954318892
2015-02-23,1404329.8432022587
2015-02-24,1348501.876061789
2015-02-25,1237191.0708663661
2015-02-26,1958997.9439366786
2015-02-27,2530437.8570083245
2015-02-28,1158619.2998386838
2015-03-01,2513805.4772491716
2015-03-02,3438807.6960370764
2015-03-03,1931495.5359396562
2015-03-04,1782549.6304025322
2015-03-05,2261921.795994042
2015-03-06,1547733.6088368169
2015-03-07,2246402.3846289283
2015-03-08,4234154.280642007
2015-03-09,2286923.423450766
2015-03-10,2166310.665323442
2015-03-11,1707452.0795781207
2015-03-12,2297868.428267769
2015-03-13,1819166.4715357763
2015-03-14,1758417.1262704674
2015-03-15,1179882.5695209678
2015-03-16,1930320.0753412605
2015-03-17,1585720.449451555
2015-03-18,2615864.719815578
2015-03-19,2102883.684367106
2015-03-20,1587054.1147232545
2015-03-21,1153768.779753185
2015-03-22,929668.8582841944
2015-03-23,1518656.8314630825
2015-03-24,1364432.6457381768
2015-03-25,1653603.2601051508
2015-03-26,1652612.4958173535
2015-03-27,1493979.9726058866
2015-03-28,1044139.9919064012
2015-03-29,908085.4826036415
2015-03-30,1487091.0094530364
2015-03-31,1404519.6986168353
