,cumsum_supply_usd
2014-06-13,7325803538.042523
2014-06-14,7625536713.331709
2014-06-15,7594521883.729002
2014-06-16,7870340790.744549
2014-06-17,7835396498.112114
2014-06-18,7682784339.155292
2014-06-19,7617773273.367749
2014-06-20,7665211665.356445
2014-06-21,7774870179.429909
2014-06-22,7620803763.405547
2014-06-23,7447382456.875993
2014-06-24,7287106032.356775
2014-06-25,7516052258.431354
2014-06-26,7785239699.793402
2014-06-27,7685124939.716733
2014-06-28,7784341487.281046
2014-06-29,8300267877.339896
2014-06-30,8294682735.947909
2014-07-01,8461295822.520473
2014-07-02,8358303916.5452585
2014-07-03,8171807816.624232
2014-07-04,8185325392.740969
2014-07-05,8224586282.542552
2014-07-06,8068312227.404851
2014-07-07,8107842413.398791
2014-07-08,8094620321.03411
2014-07-09,8005359056.344106
2014-07-10,8254469654.579027
2014-07-11,8280133186.4740095
2014-07-12,8193647962.167983
2014-07-13,8063394306.54149
2014-07-14,8087310308.661122
2014-07-15,8023524275.807246
2014-07-16,8098628136.518376
2014-07-17,8223385709.728235
2014-07-18,8189552893.294208
2014-07-19,8149906026.7322855
2014-07-20,8101602390.491214
2014-07-21,8059939593.257784
2014-07-22,8090604553.914575
2014-07-23,7861188470.32998
2014-07-24,7850931281.129061
2014-07-25,7762550570.24194
2014-07-26,7712201032.1396265
2014-07-27,7637375160.7913885
2014-07-28,7633087654.474905
2014-07-29,7377543378.660344
2014-07-30,7591177356.8097925
2014-07-31,7798844335.789011
2014-08-01,7698545788.780592
2014-08-02,7682389775.345348
2014-08-03,7690860369.959042
2014-08-04,7619070028.386477
2014-08-05,7608516843.442518
2014-08-06,7678509601.136699
2014-08-07,7716708205.092619
2014-08-08,7716624993.504224
2014-08-09,7734375411.512115
2014-08-10,7514808942.915875
2014-08-11,7452293361.825798
2014-08-12,7192279200.387978
2014-08-13,6690915358.98944
2014-08-14,6538921151.3383465
2014-08-15,6833050757.582345
2014-08-16,6531167061.724156
2014-08-17,6181800872.259412
2014-08-18,6429188637.6085615
2014-08-19,6747380000.903959
2014-08-20,6817592703.234573
2014-08-21,6769198557.687963
2014-08-22,6559769103.540185
2014-08-23,6705986779.530675
2014-08-24,6620301804.627913
2014-08-25,6756868236.265048
2014-08-26,6722476286.45367
2014-08-27,6669535805.17083
2014-08-28,6711660451.057972
2014-08-29,6595680012.497759
2014-08-30,6311774896.90533
2014-08-31,6251978870.5948105
2014-09-01,6272337010.365952
2014-09-02,6267856185.710587
2014-09-03,6453886576.689058
2014-09-04,6340388240.93849
2014-09-05,6357362797.010209
2014-09-06,6312139355.234623
2014-09-07,6213979979.966288
2014-09-08,6260154096.564172
2014-09-09,6316151550.910451
2014-09-10,6307921362.758107
2014-09-11,6284059546.270103
2014-09-12,6337097352.037626
2014-09-13,6306740867.046876
2014-09-14,6256289917.576694
2014-09-15,6155446862.61421
2014-09-16,6033024736.383569
2014-09-17,5638693558.189854
2014-09-18,5235989280.472897
2014-09-19,5424073429.583068
2014-09-20,5303967788.711662
2014-09-21,5345489465.817706
2014-09-22,5830848632.374349
2014-09-23,5640239720.255022
2014-09-24,5443004727.313673
2014-09-25,5372954550.340388
2014-09-26,5331520705.157309
2014-09-27,5007264771.204507
2014-09-28,4978029037.974224
2014-09-29,5179512584.116798
2014-09-30,5119407576.786157
2014-10-01,4969977895.414883
2014-10-02,4789496264.316172
2014-10-03,4363704191.805411
