Date,Total Volume
2021-01-31,1485640.1431894966
2021-02-01,1422583.9505435359
2021-02-02,1343901.8686207817
2021-02-03,1455376.7109722989
2021-02-04,1186082.5735031865
2021-02-05,1377058.31718043
2021-02-06,1364463.4182399716
2021-02-07,1818324.039127864
2021-02-08,1612544.6453678864
2021-02-09,1317772.421554902
2021-02-10,1165710.5162028254
2021-02-11,1052114.425219404
2021-02-12,928998.1603618793
2021-02-13,974281.5485979978
2021-02-14,981421.0567608689
2021-02-15,1279157.7675469639
2021-02-16,1178712.4385431258
2021-02-17,846953.9575863479
2021-02-18,990410.0388426193
2021-02-19,988595.3854497714
2021-02-20,812900.1908556
2021-02-21,1667924.0022929404
2021-02-22,2381012.641818288
2021-02-23,1404667.4560424201
2021-02-24,1404901.7145981463
2021-02-25,1597012.474840464
2021-02-26,1016593.2642771417
2021-02-27,1236340.783772618
2021-02-28,1264987.3455000627
2021-03-01,1058673.2830551378
2021-03-02,1134523.446188724
2021-03-03,1218769.2745215225
2021-03-04,1117815.866841195
2021-03-05,839526.2458317938
2021-03-06,817429.9799542759
2021-03-07,1112748.9240048411
2021-03-08,1064027.5086606499
2021-03-09,1200162.5163828607
2021-03-10,1172452.4913967603
2021-03-11,1115569.2804618587
2021-03-12,1142987.9078867473
2021-03-13,873437.2510295756
2021-03-14,1443923.49441728
2021-03-15,1190149.493372115
2021-03-16,1143179.9441300288
2021-03-17,1019467.1088210929
2021-03-18,916263.9051936738
2021-03-19,815128.1748519298
2021-03-20,840272.9591570967
2021-03-21,1034626.269037316
2021-03-22,1061956.9424909016
2021-03-23,1275345.443201845
2021-03-24,1353910.73288145
2021-03-25,1019790.1166014386
2021-03-26,856610.8553540807
2021-03-27,741656.4223120352
2021-03-28,928784.4890134069
2021-03-29,790538.1665832598
2021-03-30,987238.4185900138
2021-03-31,743555.2127176401
2021-04-01,716104.0707263536
2021-04-02,726310.9867369913
2021-04-03,595815.0858651312
2021-04-04,722920.40326066
2021-04-05,752199.9596507518
2021-04-06,980135.9657001788
2021-04-07,639899.1448142359
2021-04-08,582609.6703785105
2021-04-09,779163.104335272
2021-04-10,582284.1469608442
2021-04-11,745464.2853670421
2021-04-12,1044017.6242006326
2021-04-13,1281108.6174621824
2021-04-14,914472.3368636849
2021-04-15,1191714.6072903823
2021-04-16,973423.3417204987
