,vol_bitfinex_by_supply_btc
2016-07-26,1.2853533503300235e-06
2016-07-27,8.586969703230215e-07
2016-07-28,8.899327325155164e-07
2016-07-29,7.830974091440686e-07
2016-07-30,3.3817865273512996e-06
2016-07-31,3.2796486837496394e-06
2016-08-01,3.674206721372192e-06
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,2.2861771759940937e-06
2016-08-10,1.6420402326407632e-06
2016-08-11,6.791177417421983e-07
2016-08-12,6.953758914897731e-07
2016-08-13,8.353720485460431e-07
2016-08-14,8.55856147459518e-07
2016-08-15,6.836904589836533e-07
2016-08-16,5.564045346866055e-07
2016-08-17,6.63111401721102e-07
2016-08-18,3.2472815593406553e-07
2016-08-19,3.623111210948631e-07
2016-08-20,2.643145782944476e-07
2016-08-21,4.996004863959505e-07
2016-08-22,5.218496527103371e-07
2016-08-23,5.517016796791823e-07
2016-08-24,3.919396634068335e-07
2016-08-25,1.932200626598061e-07
2016-08-26,2.507449034223272e-07
2016-08-27,1.6702559633645914e-07
2016-08-28,3.087736150959699e-07
2016-08-29,3.502298107416266e-07
2016-08-30,3.8709180995616685e-07
2016-08-31,3.991237826185245e-07
2016-09-01,6.210406983972442e-07
2016-09-02,8.587242263157832e-07
2016-09-03,5.23550690433045e-07
2016-09-04,5.277938125212096e-07
2016-09-05,3.1887462320853717e-07
2016-09-06,5.655273119159475e-07
2016-09-07,8.298824912057936e-07
2016-09-08,4.3243763385120397e-07
2016-09-09,4.080916417440718e-07
2016-09-10,9.979770422950887e-07
2016-09-11,5.150979886404365e-07
2016-09-12,7.507629600046787e-07
2016-09-13,6.123116259764033e-07
2016-09-14,4.535814473196438e-07
2016-09-15,3.839767984417443e-07
2016-09-16,3.702868985582409e-07
2016-09-17,3.023481714628667e-07
2016-09-18,3.060100891855779e-07
2016-09-19,3.57037532848524e-07
2016-09-20,8.085056726991764e-07
2016-09-21,2.465661433450467e-07
2016-09-22,2.0472839681162627e-07
2016-09-23,9.866697885038487e-08
2016-09-24,1.4527349343558889e-07
2016-09-25,3.228173441024145e-07
2016-09-26,3.325615543380346e-07
2016-09-27,2.1383298378660913e-07
2016-09-28,3.269672192651557e-07
2016-09-29,2.4425091909497127e-07
2016-09-30,1.9462849430066054e-07
2016-10-01,5.125033740903331e-07
2016-10-02,3.375206463507838e-07
2016-10-03,4.133821662612345e-07
2016-10-04,3.504029848162631e-07
2016-10-05,3.1607092305164684e-07
2016-10-06,4.940910545525306e-07
2016-10-07,3.1616304520268104e-07
2016-10-08,2.7919065436614216e-07
2016-10-09,3.232764561143725e-07
2016-10-10,1.2194679198162862e-06
2016-10-11,3.8084502813866627e-07
2016-10-12,4.951133346139124e-07
2016-10-13,6.51324116970194e-07
2016-10-14,2.3639455799470356e-07
2016-10-15,2.3383009732475222e-07
2016-10-16,4.93547116929105e-07
2016-10-17,6.004126380324063e-07
2016-10-18,8.960231381729464e-07
2016-10-19,3.327851201140244e-07
2016-10-20,7.157487351067606e-07
2016-10-21,9.610460710713298e-07
2016-10-22,5.497418400351736e-07
2016-10-23,5.489415473840825e-07
2016-10-24,5.294060504671571e-07
2016-10-25,1.0848822424716929e-06
2016-10-26,1.1783933900147513e-06
2016-10-27,9.175021442401612e-07
2016-10-28,1.3430337449637125e-06
2016-10-29,1.0921892997505169e-06
2016-10-30,7.689364073898364e-07
2016-10-31,1.9107533536544054e-06
2016-11-01,7.885001848461859e-07
2016-11-02,2.562183973620054e-06
2016-11-03,1.2923307581393287e-06
2016-11-04,5.337319334037644e-07
2016-11-05,6.290213532163719e-07
2016-11-06,3.367638418659335e-07
2016-11-07,8.700102963623433e-07
2016-11-08,1.3095005812848123e-06
